X,Y,storeNumber,storeType,address,city,state,zip,phone,playplace,driveThru,archCard,freeWifi,storeUrl
-72.548571,42.359058000000005,35391,FREESTANDING,374 RUSSELL ST,HADLEY,MA,01035,(413)582-0176,N,Y,Y,Y,
-80.210077,25.859773999999998,5112,FREESTANDING,9250 NW 7TH AVE,MIAMI,FL,33150,(305)759-1042,N,Y,Y,Y,http://www.mcflorida.com/5112
-80.171653,25.927849,28899,WAL*MART,1425 NE 163RD STREET (WM#3235),NORTH MIAMI BEACH,FL,33162,(305)945-5287,N,N,Y,N,http://www.mcflorida.com/28899
-72.63304000000001,42.059765999999996,34251,FREESTANDING,868 SUFFIELD STREET,AGAWAM,MA,01001,(413)786-6863,N,Y,Y,Y,http://www.mcmassachusetts.com/34251
-72.62399599999999,42.115792,356,FREESTANDING,352 RIVERDALE RD,WEST SPRINGFIELD,MA,01089,(413)737-5153,N,Y,Y,Y,http://www.mcmassachusetts.com/356
-72.585335,42.024178000000006,22257,FREESTANDING,34 ENDFIELD ST,ENFIELD,CT,06082,(860)745-4314,Y,Y,Y,Y,http://www.mcconnecticut.com/22257
-72.553449,42.142832,4847,FREESTANDING,771 PAGE BLVD,SPRINGFIELD,MA,01104-3036,(413)739-5529,N,Y,Y,Y,http://www.mcmassachusetts.com/4847
-72.603842,42.095501,10335,FREESTANDING,429 MEMORIAL AVE,WEST SPRINGFIELD,MA,01089,(413)787-9951,N,Y,Y,Y,http://www.mcmassachusetts.com/10335
-72.489609,42.143127,6129,FREESTANDING,1610 BOSTON POST RD,SPRINGFIELD,MA,01129,(413)543-3473,Y,Y,Y,Y,http://www.mcmassachusetts.com/6129
-72.584841,42.120846,26537,FREESTANDING,660 LIBERTY ST,SPRINGFIELD,MA,01103,(413)731-1529,N,Y,Y,Y,http://www.mcmassachusetts.com/26537
-72.57997399999999,41.989307000000004,7620,FREESTANDING,28 HAZARD AVE,ENFIELD,CT,06082,(860)745-1484,N,Y,Y,Y,http://www.mcconnecticut.com/7620
-72.517735,42.136741,592,FREESTANDING,809 BOSTON RD,SPRINGFIELD,MA,01109,(413)783-2328,N,Y,Y,Y,http://www.mcmassachusetts.com/592
-72.5461,42.166754,16283,FREESTANDING,350 BURNETT RD,CHICOPEE,MA,01020,(413)592-0646,N,Y,Y,Y,http://www.mcmassachusetts.com/16283
-72.580214,42.091392,11926,FREESTANDING,360 MAIN ST.,SPRINGFIELD,MA,01105,(413)739-3534,N,Y,Y,Y,http://www.mcmassachusetts.com/11926
-72.574613,42.197536,645,FREESTANDING,1460 MEMORIAL DRIVE,CHICOPEE,MA,01020-3964,(413)532-5128,Y,Y,Y,Y,http://www.mcmassachusetts.com/645
-72.596393,42.105233,13694,BUS/TRAIN,1776 MAIN ST,SPRINGFIELD,MA,01102,(413)731-7641,N,N,Y,Y,http://www.mcmassachusetts.com/13694
-72.565496,42.111436,15470,FREESTANDING,782 STATE STREET,SPRINGFIELD,MA,01105,(413)788-1444,N,Y,Y,Y,http://www.mcmassachusetts.com/15470
-72.72693000000001,42.113693,1550,FREESTANDING,299 EAST MAIN STREET,WESTFIELD,MA,01085-3307,(413)562-3428,Y,Y,Y,Y,http://www.mcmassachusetts.com/1550
-72.741664,42.134205,5954,FREESTANDING,182 NORTH ELM STREET,WESTFIELD,MA,01085-1604,(413)568-3595,Y,Y,Y,Y,http://www.mcmassachusetts.com/5954
-72.785437,42.025836,11575,FREESTANDING,214 COLLEGE HWY,SOUTHWICK,MA,01077,(413)569-0870,N,Y,Y,Y,http://www.mcmassachusetts.com/11575
-72.604074,42.111282,11540,FREESTANDING,2392 MAIN ST.,SPRINGFIELD,MA,01107-1906,(413)781-2603,N,Y,Y,Y,http://www.mcmassachusetts.com/11540
-72.613644,42.164688,6035,FREESTANDING,777 MEADOW ST,CHICOPEE,MA,01013,(413)592-5345,N,Y,Y,Y,http://www.mcmassachusetts.com/6035
-72.583619,41.998263,2070,FREESTANDING,97 ELM ST,ENFIELD,CT,06082,(860)741-0807,Y,Y,Y,Y,http://www.mcconnecticut.com/2070
-72.610596,42.205811,17735,FREESTANDING,285 MAPLE ST,HOLYOKE,MA,01040,(413)534-0228,N,Y,Y,Y,http://www.mcmassachusetts.com/17735
-72.62996899999999,42.186597,1213,FREESTANDING,2194 N HAMPTON ST,HOLYOKE,MA,01040,(413)532-5116,N,Y,Y,Y,http://www.mcmassachusetts.com/1213
-72.641728,42.167225,21231,MALL,50 HOLYOKE ST,HOLYOKE,MA,01040,(413)532-4630,N,N,Y,N,http://www.mcmassachusetts.com/21231
-72.511777,41.985827,15009,FREESTANDING,585 HAZARD AVE,ENFIELD,CT,06082,(860)763-4122,N,Y,Y,Y,http://www.mcconnecticut.com/15009
-72.51295400000001,42.094618,1721,FREESTANDING,1402 ALLEN STREET,SPRINGFIELD,MA,01118-1806,(413)783-8044,Y,Y,Y,Y,http://www.mcmassachusetts.com/1721
-72.633195,42.328891999999996,862,FREESTANDING,221 KING ST,NORTHAMPTON,MA,01060,(413)584-5073,N,Y,Y,Y,http://www.mcmassachusetts.com/862
-72.48100699999999,42.167703,6099,FREESTANDING,420 CENTER ST,LUDLOW,MA,01056,(413)583-6827,N,Y,Y,Y,http://www.mcmassachusetts.com/6099
-72.406243,42.28835,12064,FREESTANDING,148 N MAIN ST,BELCHERTOWN,MA,01007,(413)323-6498,N,Y,Y,Y,http://www.mcmassachusetts.com/12064
-72.624779,42.585459,10735,FREESTANDING,208 MOHAWK TRAIL,GREENFIELD,MA,01301-9620,(413)774-5311,N,Y,Y,Y,http://www.mcmassachusetts.com/10735
-72.670284,42.27988,6279,FREESTANDING,121 N HAMPTON ST,EASTHAMPTON,MA,01027,(413)527-5526,Y,Y,Y,Y,http://www.mcmassachusetts.com/6279
-72.323143,42.174381,12009,FREESTANDING,1184 THORNDIKE ST,PALMER,MA,01069,(413)283-9095,Y,Y,Y,Y,http://www.mcmassachusetts.com/12009
-72.454004,42.169104,25931,TOLLWAY,MASS PIKE I-90 SRVCE AREA 3E MILEPOST 89,LUDLOW,MA,01056,(413)589-1790,N,Y,Y,Y,http://www.mcmassachusetts.com/25931
-72.24990600000001,42.256992,2116,FREESTANDING,117-119 WEST ST,WARE,MA,01082,(413)967-3485,N,Y,Y,Y,http://www.mcmassachusetts.com/2116
-72.594488,42.599834,1439,FREESTANDING,285 FEDERAL ST,GREENFIELD,MA,01301,(413)774-3618,Y,Y,Y,Y,http://www.mcmassachusetts.com/1439
-71.99086,42.563297,2223,FREESTANDING,223 TIMPANY BLVD,GARDNER,MA,01440,(978)632-9859,N,Y,Y,Y,http://www.mcmassachusetts.com/2223
-71.795265,42.319057,1775,FREESTANDING,766 W BOYLSTON ST,WORCESTER,MA,01606,(508)852-1350,Y,Y,Y,Y,http://www.mcmassachusetts.com/1775
-71.826126,42.247734,373,FREESTANDING,995 MAIN STREET,WORCESTER,MA,01603-2418,(508)757-5357,N,Y,Y,Y,http://www.mcmassachusetts.com/373
-72.012413,42.233025,6050,FREESTANDING,59 W MAIN ST,SPENCER,MA,01562,(508)885-3355,Y,Y,Y,Y,http://www.mcmassachusetts.com/6050
-71.78373,42.553748999999996,6703,FREESTANDING,114 WHALON ST,FITCHBURG,MA,01420,(978)342-2862,N,Y,Y,Y,http://www.mcmassachusetts.com/6703
-72.039146,42.678806,12061,FREESTANDING,235 SPRING ST,WINCHENDON,MA,01475,(978)297-3528,N,Y,Y,Y,http://www.mcmassachusetts.com/12061
-71.77407099999999,42.579613,466,FREESTANDING,334 JOHN FITCH HIGHWAY,FITCHBURG,MA,01420,(978)343-9618,N,Y,Y,Y,http://www.mcmassachusetts.com/466
-71.837723,42.339478,4753,FREESTANDING,638 S MAIN ST,HOLDEN,MA,01520,(508)829-5615,Y,Y,Y,Y,http://www.mcmassachusetts.com/4753
-71.772675,42.295776000000004,6154,FREESTANDING,548 LINCOLN ST.,WORCESTER,MA,01608,(508)852-5417,Y,Y,Y,Y,http://www.mcmassachusetts.com/6154
-71.770973,42.272633,22710,FREESTANDING,465 SHREWSBURY ST,WORCESTER,MA,01604,(508)757-9996,N,Y,Y,Y,http://www.mcmassachusetts.com/22710
-71.760483,42.542198,1323,FREESTANDING,302 N MAIN STREET,LEOMINSTER,MA,01453,(978)534-9762,N,Y,Y,Y,http://www.mcmassachusetts.com/1323
-72.25488299999999,42.581505,7204,FREESTANDING,100 BROOKSIDE RD,ATHOL,MA,01331,(978)249-9866,Y,Y,Y,Y,http://www.mcmassachusetts.com/7204
-72.024897,42.139796999999994,25933,TOLLWAY,MASSACHUSETTS TURNPIKE,CHARLTON CITY,MA,01508,(508)248-0517,N,Y,Y,N,http://www.mcmassachusetts.com/25933
-71.87056,42.178829,7996,FREESTANDING,813 SOUTHBRIDGE ST,AUBURN,MA,01501-1323,(508)832-7100,Y,Y,Y,Y,http://www.mcmassachusetts.com/7996
-71.795837,42.211311,5798,FREESTANDING,RT 20 & GREENWOOD ST,WORCESTER,MA,01607,(508)752-1097,Y,Y,Y,Y,http://www.mcmassachusetts.com/5798
-71.85363000000001,42.275878999999996,11531,FREESTANDING,595 MILL ST,WORCESTER,MA,01603,(508)754-8812,N,Y,Y,Y,http://www.mcmassachusetts.com/11531
-71.818138,42.582439,11712,FREESTANDING,550 KIMBALL ST,FITCHBURG,MA,01420,(978)345-4397,N,Y,Y,Y,http://www.mcmassachusetts.com/11712
-71.835716,42.208801,1672,FREESTANDING,72 AUBURN STREET,AUBURN,MA,01501-2458,(508)832-3744,N,Y,Y,Y,http://www.mcmassachusetts.com/1672
-71.753189,42.274853,26790,FREESTANDING,31 BOSTON TURNPIKE RD,SHREWSBURY,MA,01545,(508)890-2777,N,Y,Y,Y,http://www.mcmassachusetts.com/26790
-71.964109,42.156403999999995,25934,TOLLWAY,MASS PIKE I-90 SRVCE AREA 6W MILEPOST 89,CHARLTON,MA,01507,(508)248-6788,N,Y,Y,Y,http://www.mcmassachusetts.com/25934
-71.987288,42.145171999999995,29570,GAS STATION,38 WORCESTER ROAD,CHARLTON,MA,01507,(508)248-7040,N,Y,Y,Y,http://www.mcmassachusetts.com/29570
-71.743767,42.532749,5020,FREESTANDING,247 MILL ST,LEOMINSTER,MA,01453,(978)534-9706,N,Y,Y,Y,http://www.mcmassachusetts.com/5020
-72.932539,42.195434999999996,25929,TOLLWAY,MASS PIKE W TRAVEL PLAZA,BLANDFORD,MA,01008,(413)848-2284,N,Y,Y,Y,http://www.mcmassachusetts.com/25929
-72.934186,42.194276,25930,TOLLWAY,MASS PIKE I-90 E MILEPOST 29,BLANDFORD,MA,01008,(413)848-2518,N,Y,Y,N,http://www.mcmassachusetts.com/25930
-73.274503,42.298423,25928,TOLLWAY,240 WEST ROAD,LEE,MA,01238,(413)243-6695,N,Y,Y,Y,http://www.mcmassachusetts.com/25928
-73.240801,42.299152,14735,FREESTANDING,245 HOUSATONIC ST,LEE,MA,01238,(413)243-2253,N,Y,Y,Y,http://www.mcmassachusetts.com/14735
-72.784214,41.95234,15431,STOREFRONT,5 BANK ST (SATELLITE),GRANBY,CT,06035-2303,(860)653-9355,N,N,Y,Y,http://www.mcconnecticut.com/15431
-73.058495,41.919404,2109,FREESTANDING,15 S MAIN ST RTE 44,WINSTED,CT,06098,(860)379-6904,N,Y,Y,Y,http://www.mcconnecticut.com/2109
-73.274697,42.296908,25927,TOLLWAY,MASS PIKE E TRAVEL PLAZA,LEE,MA,01238,(413)243-4666,N,Y,Y,Y,http://www.mcmassachusetts.com/25927
-72.089508,42.112263,5073,FREESTANDING,366 MAIN ST,STURBRIDGE,MA,01566,(508)347-5856,N,Y,Y,Y,http://www.mcmassachusetts.com/5073
-72.330545,41.969567,4621,FREESTANDING,89 W STAFFORD RD,STAFFORD SPRINGS,CT,06076,(860)684-9697,Y,Y,Y,Y,http://www.mcconnecticut.com/4621
-71.859802,42.117058,13143,FREESTANDING,26 A SUTTON AVE,OXFORD,MA,01540,(508)987-2047,N,Y,Y,Y,http://www.mcmassachusetts.com/13143
-72.009109,42.06863,2560,FREESTANDING,515 E MAIN ST,SOUTHBRIDGE,MA,01550,(508)764-2196,Y,Y,Y,Y,http://www.mcmassachusetts.com/2560
-71.873451,42.055595000000004,1823,FREESTANDING,44 E MAIN ST,WEBSTER,MA,01570,(508)943-9009,N,Y,Y,Y,http://www.mcmassachusetts.com/1823
-73.203972,42.46852,12045,FREESTANDING,ALLENDALE SHOPPING CTR,PITTSFIELD,MA,01201,(413)442-4602,N,Y,Y,Y,http://www.mcmassachusetts.com/12045
-73.27493199999999,42.442632,1824,FREESTANDING,445 W HOUSATONIC ST,PITTSFIELD,MA,01201,(413)442-4629,N,Y,Y,Y,http://www.mcmassachusetts.com/1824
-73.34537399999999,42.209996000000004,2809,FREESTANDING,302 STOCKBRIDGE RD (RT 7),GREAT BARRINGTON,MA,01230,(413)528-0434,N,Y,Y,Y,http://www.mcmassachusetts.com/2809
-73.12017800000001,42.619229,4593,FREESTANDING,2 COMMERCIAL ST,ADAMS,MA,01220,(413)743-4678,N,Y,Y,Y,http://www.mcmassachusetts.com/4593
-73.107984,42.700757,1147,FREESTANDING,17 27 UNION/EAGLE ST,NORTH ADAMS,MA,01247,(413)664-7272,N,Y,Y,Y,http://www.mcmassachusetts.com/1147
-72.685057,41.929997,28784,AIRPORT,NEW MAIN TERMINAL,WINDSOR LOCKS,CT,06096,(860)292-1580,N,N,Y,N,http://www.mcconnecticut.com/28784
-72.66972,41.928487,2617,FREESTANDING,195 TURNPIKE RD,WINDSOR LOCKS,CT,06096,(860)623-4373,N,Y,Y,Y,http://www.mcconnecticut.com/2617
-72.868365,41.817951,1240,FREESTANDING,22 ALBANY TPKE,SIMSBURY,CT,06070,(860)651-9589,Y,Y,Y,Y,http://www.mcconnecticut.com/1240
-72.8984,41.826094,17261,FREESTANDING,220 ALBANY TPKE,CANTON,CT,06019,(860)693-9284,N,Y,Y,Y,http://www.mcconnecticut.com/17261
-73.07873199999999,41.82062,17764,FREESTANDING,1858 E MAIN ST,TORRINGTON,CT,06790-3131,(860)626-8008,N,Y,Y,Y,http://www.mcconnecticut.com/17764
-72.46301,41.888559,32393,FREESTANDING,ROUTE 83,ELLINGTON,CT,06029,(860)871-0200,N,Y,Y,Y,http://www.mcconnecticut.com/32393
-71.687073,42.432442,1999,FREESTANDING,1040 MAIN ST,CLINTON,MA,01510,(978)365-9894,N,Y,Y,Y,http://www.mcmassachusetts.com/1999
-71.758957,42.244755,1650,FREESTANDING,982 GRAFTON STREET,WORCESTER,MA,01604-2034,(508)799-7606,N,Y,Y,Y,http://www.mcmassachusetts.com/1650
-73.204756,42.895475,22198,FREESTANDING,112 NORTHSIDE DR,BENNINGTON,VT,05201,(802)442-8803,Y,Y,Y,Y,http://www.mcvermont.com/22198
-72.557579,42.882069,3021,FREESTANDING,1027 PUTNEY RD,BRATTLEBORO,VT,05301,(802)254-8528,N,Y,Y,Y,http://www.mcvermont.com/3021
-72.429796,41.856265,27610,FREESTANDING,74 RESERVOIR ROAD,ROCKVILLE,CT,06066,(860)871-6118,N,Y,Y,Y,http://www.mcconnecticut.com/27610
-73.675265,42.738823,34636,FREESTANDING,HOOSICK ST. & 15TH ST.,TROY,NY,12180,(518)266-1215,N,Y,Y,Y,
-73.64686,42.696889,4272,FREESTANDING,MAIN AVE RT 66,WYNANTSKILL,NY,12198,(518)283-2089,N,Y,Y,Y,http://www.mcnewyork.com/4272
-73.767986,42.254637,6071,FREESTANDING,FAIRVIEW AVE EXTENSION,HUDSON,NY,12534,(518)828-4811,N,Y,Y,Y,http://www.mcnewyork.com/6071
-73.760051,42.6505,20682,STOREFRONT,EMPIRE STATE PLZA/CONC LEVEL,ALBANY,NY,12220,(518)432-0340,N,N,Y,N,http://www.mcnewyork.com/20682
-73.325632,42.025151,7809,FREESTANDING,18 MAIN ST,NORTH CANAAN,CT,06018,(860)824-5281,N,Y,Y,Y,http://www.mcconnecticut.com/7809
-73.69751099999999,42.645272,22335,FREESTANDING,310 TROY RD & RT 4,RENSSELAER,NY,12144,(518)283-3165,N,Y,Y,Y,http://www.mcnewyork.com/22335
-73.793216,42.601501,14554,FREESTANDING,376 FEURA BUSH RD,GLENMONT,NY,12077,(518)449-1012,N,Y,Y,Y,http://www.mcnewyork.com/14554
-73.774536,42.666937,4305,FREESTANDING,391 CENTRAL AVE,ALBANY,NY,12206,(518)462-9998,N,Y,Y,Y,http://www.mcnewyork.com/4305
-73.688506,42.426744,15979,FREESTANDING,2939 USHY 9,VALATIE,NY,12184,(518)758-2625,N,Y,Y,Y,http://www.mcnewyork.com/15979
-73.63774599999999,42.747577,13755,FREESTANDING,780 HOOSICK RD (RT 7),TROY,NY,12180,(518)279-0601,N,Y,Y,Y,http://www.mcnewyork.com/13755
-73.700823,42.727643,5627,FREESTANDING,BROADWAY & 16TH ST,WATERVLIET,NY,12189,(518)274-6323,Y,Y,Y,Y,http://www.mcnewyork.com/5627
-73.754302,42.645961,16192,FREESTANDING,106-136 SOUTH PEARL STREET,ALBANY,NY,12207,(518)434-8380,N,Y,Y,Y,http://www.mcnewyork.com/16192
-73.772254,42.647222,4362,FREESTANDING,31 HOLLAND AVE,ALBANY,NY,12209,(518)449-5661,Y,Y,Y,Y,http://www.mcnewyork.com/4362
-73.361177,42.891086,18708,FREESTANDING,21451 NY RTE 22,HOOSICK FALLS,NY,12090,(518)686-0144,N,Y,Y,Y,http://www.mcnewyork.com/18708
-73.696252,42.782615,3695,FREESTANDING,42 SARATOGA AVE,WATERFORD,NY,12188,(518)235-7321,N,Y,Y,Y,http://www.mcnewyork.com/3695
-73.12195899999999,41.814409999999995,5311,FREESTANDING,693 N MAIN ST,TORRINGTON,CT,06790,(860)482-2464,N,Y,Y,Y,http://www.mcconnecticut.com/5311
-73.019948,41.679227000000004,4960,FREESTANDING,321 MAIN ST,TERRYVILLE,CT,06786,(860)584-1044,N,Y,Y,Y,http://www.mcconnecticut.com/4960
-73.5015,41.952205,25810,FREESTANDING,130 ROUTE 44 EAST,MILLERTON,NY,12546,(518)789-0575,N,Y,Y,Y,http://www.mcnewyork.com/25810
-73.580101,41.735226000000004,14734,FREESTANDING,3078 ROUTE 22,DOVER PLAINS,NY,12522,(845)877-3514,N,Y,Y,Y,http://www.mcnewyork.com/14734
-73.875662,42.217575,12171,FREESTANDING,RT 9 W & MAPLE AVE,CATSKILL,NY,12414,(518)943-0102,N,Y,Y,Y,http://www.mcnewyork.com/12171
-72.883847,41.756731,32044,STOREFRONT,FARMINGTON AVE.,FARMINGTON,CT,06085,(860)404-0881,N,N,Y,Y,http://www.mcconnecticut.com/32044
-73.956562,42.110554,12302,TOLLWAY,MILE POST 103 N NY STATE THRUWAY,MALDEN ON HUDSON,NY,12453,(845)246-7670,N,Y,Y,Y,http://www.mcnewyork.com/12302
-73.989773,42.296662,19456,FREESTANDING,NY 32 & NY 23,CAIRO,NY,12413,(518)622-8720,Y,Y,Y,Y,http://www.mcnewyork.com/19456
-73.970894,42.084244,11036,FREESTANDING,350 RT 212,SAUGERTIES,NY,12477,(845)246-5816,N,Y,Y,Y,http://www.mcnewyork.com/11036
-73.956154,42.055904,2472,FREESTANDING,8 MANOR LN,SAUGERTIES,NY,12477,(845)246-2610,Y,Y,Y,Y,http://www.mcnewyork.com/2472
-73.688047,42.903524,4361,FREESTANDING,1 PARK PLAZA,MECHANICVILLE,NY,12118,(518)664-8844,N,Y,Y,Y,http://www.mcnewyork.com/4361
-73.75939100000001,42.755162,14642,FREESTANDING,579 TROY SCHENETADY RD,LATHAM,NY,12110,(518)785-3131,N,Y,Y,Y,http://www.mcnewyork.com/14642
-73.740605,42.836878000000006,18508,FREESTANDING,1487 RT 9,CLIFTON PARK,NY,12065,(518)373-9792,Y,Y,Y,Y,http://www.mcnewyork.com/18508
-73.05410400000001,43.17491,8031,FREESTANDING,RT 11 & 30TH,MANCHESTER,VT,05255,(802)362-5170,N,Y,Y,Y,http://www.mcvermont.com/8031
-73.775384,42.706374,4183,FREESTANDING,256 OSBORNE RD,LOUDONVILLE,NY,12211,(518)459-2502,N,Y,Y,Y,http://www.mcnewyork.com/4183
-73.80882,42.629146,1435,FREESTANDING,132 DELAWARE AVE,DELMAR,NY,12054,(518)439-3422,Y,Y,Y,Y,http://www.mcnewyork.com/1435
-73.996811,41.94445,837,FREESTANDING,555 ALBANY AVE,KINGSTON,NY,12401,(845)331-6794,Y,Y,Y,Y,http://www.mcnewyork.com/837
-73.988571,41.967094,16046,FREESTANDING,1232 UL STER AVE,KINGSTON,NY,12401,(845)336-2100,N,Y,Y,Y,http://www.mcnewyork.com/16046
-73.822525,41.74432,12775,FREESTANDING,1620 MAIN ST,PLEASANT VALLEY,NY,12569,(845)635-1787,N,Y,Y,Y,http://www.mcnewyork.com/12775
-73.93220500000001,41.783190999999995,4265,FREESTANDING,566 ALBANY POST RD,HYDE PARK,NY,12538,(845)229-7868,Y,Y,Y,Y,http://www.mcnewyork.com/4265
-72.922442,41.690397999999995,301,FREESTANDING,646 FARMINGTON AVE,BRISTOL,CT,06010-3911,(860)589-7313,N,Y,Y,Y,http://www.mcconnecticut.com/301
-73.764769,42.82065,10443,FREESTANDING,1517CRESCENT VICHER FERRY RD,CLIFTON PARK,NY,12065,(518)383-2543,N,Y,Y,Y,http://www.mcnewyork.com/10443
-72.289337,42.925762,1894,FREESTANDING,317 WINCHESTER ST,KEENE,NH,03431,(603)352-9610,N,Y,Y,Y,http://www.mcnewhampshire.com/1894
-72.016541,42.818123,13943,FREESTANDING,85 PETERBOROUGH ST,JAFFREY,NH,03452,(603)532-4517,N,Y,Y,Y,http://www.mcnewhampshire.com/13943
-71.66216999999999,42.649975,12355,FREESTANDING,20 MAIN ST,TOWNSEND,MA,01469,(978)597-6521,N,Y,Y,Y,http://www.mcmassachusetts.com/12355
-71.571747,42.553761,6450,FREESTANDING,2 SANDY POND RD,AYER,MA,01432,(978)772-9626,Y,Y,Y,Y,http://www.mcmassachusetts.com/6450
-71.546577,42.804443,10712,FREESTANDING,710 RT 101A,MERRIMACK,NH,03054,(603)595-4774,Y,Y,Y,Y,http://www.mcnewhampshire.com/10712
-71.622513,42.823624,25383,FREESTANDING,599 NASHUA ST,MILFORD,NH,03055,(603)672-9265,N,Y,Y,Y,http://www.mcnewhampshire.com/25383
-71.47554000000001,42.732502000000004,21757,FREESTANDING,3 NORTHEASTERN BLVD,NASHUA,NH,03062,(603)821-3099,N,Y,Y,Y,http://www.mcnewhampshire.com/21757
-71.58847,42.339638,11668,FREESTANDING,155 BOSTON POST RD W,MARLBOROUGH,MA,01752,(508)485-7250,Y,Y,Y,Y,http://www.mcmassachusetts.com/11668
-71.42093,42.569384,13853,FREESTANDING,151 LITTLETON RD,WESTFORD,MA,01866,(978)692-7105,Y,N,Y,Y,http://www.mcmassachusetts.com/13853
